Germany(via VPN),#genre#
Das Erste HD,https://mcdn.daserste.de/daserste/de/master.m3u8
ZDF HD,https://zdf-hls-15.akamaized.net/hls/live/2016498/de/veryhigh/master.m3u8
3sat,https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/veryhigh/master.m3u8
ARTE,https://artesimulcast.akamaized.net/hls/live/2030993/artelive_de/master.m3u8
ALPHA,https://mcdn.br.de/br/fs/ard_alpha/hls/de/master.m3u8
ONE,https://mcdn.one.ard.de/ardone/hls/master.m3u8
ZDFneo,https://zdf-hls-16.akamaized.net/hls/live/2016499/de/veryhigh/master.m3u8
ZDFinfo HD,https://zdf-hls-17.akamaized.net/hls/live/2016500/de/veryhigh/master.m3u8
Tagesschau 24,https://tagesschau.akamaized.net/hls/live/2020117/tagesschau/tagesschau_3/master.m3u8
Phoenix HD,https://zdf-hls-19.akamaized.net/hls/live/2016502/de/veryhigh/master.m3u8
WDR HD,https://wdrfs247.akamaized.net/hls/live/681509/wdr_msl4_fs247/master.m3u8
SWR Baden-Würthemberg HD,https://swrbwd-hls.akamaized.net/hls/live/2018672/swrbwd/master.m3u8
SWR Rheinland-Pfalz HD,https://swrrpd-hls.akamaized.net/hls/live/2018676/swrrpd/master.m3u8
SR HD,https://srfs.akamaized.net/hls/live/689649/srfsgeo/master.m3u8
NDR Niedersachsen HD,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_nds/master.m3u8
NDR Schleswig-Holstein HD,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_sh/master.m3u8
NDR Mecklenburg-Vorpommern HD,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_mv/master.m3u8
NDR Hamburg HD,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_hh/master.m3u8
BR Fernsehen Nord HD,https://mcdn.br.de/br/fs/bfs_nord/hls/de/master.m3u8
BR Fernsehen Süd HD,https://mcdn.br.de/br/fs/bfs_sued/hls/de/master.m3u8
MDR Sachsen-Anhalt HD,https://mdrtvsahls.akamaized.net/hls/live/2016879/mdrtvsa/master.m3u8
MDR Sachsen HD,https://mdrtvsnhls.akamaized.net/hls/live/2016928/mdrtvsn/master.m3u8
MDR Thüringen HD,https://mdrtvthhls.akamaized.net/hls/live/2016880/mdrtvth/master.m3u8
MDR +,https://mdrevent2hls-lh.akamaihd.net/i/livetvmdrevent2_ww@513991/master.m3u8
HR HD,https://hrhls.akamaized.net/hls/live/2024525-b/hrhls/master.m3u8
RBB Berlin HD,https://rbb-hls-berlin.akamaized.net/hls/live/2017824/rbb_berlin/master.m3u8
RBB Brandenburg HD,https://rbb-hls-brandenburg.akamaized.net/hls/live/2017825/rbb_brandenburg/master.m3u8
Radio Bremen TV,https://rbhlslive.akamaized.net/hls/live/2020435/rbfs/master.m3u8
Deutsche Welle TV Deutsch,https://dwamdstream106.akamaized.net/hls/live/2017965/master.m3u8
KiKa,https://kikageohls.akamaized.net/hls/live/2022693/livetvkika_de/master.m3u8
Nickelodeon,https://0d26a00dfbb1.airspace-cdn.cbsivideo.com/nick1999/master/master_900.m3u8
Servus TV Wetter,https://rbmn-live.akamaized.net/hls/live/665268/Wetterpanorama/master_3392.m3u8
Servus TV World of Red Bull,https://stv-live.akamaized.net/hls/live/2096817/RBTVDachSTVPri/master.m3u8
Welt der Wunder,https://wdw.iptv-playoutcenter.de/wdw/wdw1/playlist.m3u8
ANIXE HD,https://ma.anixa.tv/clips/stream/anixehd/index.m3u8
health.tv,http://62.67.13.53:1935/HealthTV/ghtv_live_master.stream/playlist.m3u8
Muxx.TV,https://h056.video-stream-hosting.de/easycast9-live/_definst_/mp4:livestream99/master.m3u8
MyTVplus,https://mytvplus.iptv-playoutcenter.de/mytvplus/mytvplus.stream_1/playlist.m3u8
Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
More than Sports TV,https://mts1.iptv-playoutcenter.de/mts/mts-web/playlist.m3u8
OE24.TV,https://oe24.mdn.ors.at/out/u/oe24tv_hd_small-nodrm.m3u8
WELT,https://w-live2weltcms.akamaized.net/hls/live/2041019/Welt-LivePGM/index.m3u8
WELT News,https://w-news2weltcms.akamaized.net/hls/live/2040885/Welt-NextNews/index.m3u8
Euronews deutsch,https://rakuten-euronews-5-de.samsung.wurl.com/manifest/playlist.m3u8
Bild,https://bild.personalstream.tv/v1/master.m3u8
Bild Sport,https://stream.sport-bild.personalstream.tv/v1/manifest/e237d596efe8bf8a700f8f91f1de8bbe03e0fe29/sport-bild-prod/77c261b7-66cf-4c8b-9403-7e0a022ceb65/0.m3u8
DerAktionaer.tv,https://live2.telvi.de/hls/aktionaertv_hd720.m3u8
meteonews.tv (Schweiz),https://streaming.meteonews.net/hls/stream.m3u8
Bundestag Kanal 1,https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk1/_definst_/live/video/hk1_de.smil/playlist.m3u8
Bundestag Kanal 2,https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk2/_definst_/live/video/hk2_de.smil/playlist.m3u8
Bundestag Kanal 3,https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk3/_definst_/live/video/hk3_de.smil/playlist.m3u8
Bundestag Kanal 4,https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk4/_definst_/live/video/hk4_de.smil/playlist.m3u8
Bayrischer Landtag,https://cldf-wzw-live.r53.cdn.tv1.eu/5112ltby-plenar/_definst_/live/video/plenar_de.smil/chunklist_b5128000_DVR_slde.m3u8
Thuerigen Landtag,https://thlt.akamaized.net/hls/live/2019783/lt01/master_720p.m3u8
Hessischer Landtag,https://hrhzdevent.akamaized.net/hls/live/2026529/hzdevent1hls/master-720.m3u8
Europe by Satellite Kanal 1,https://eucom-live.freecaster.com/eucom/96098bf4-5a2a-466b-8d7f-e35300fa4f28/96098bf4-5a2a-466b-8d7f-e35300fa4f28.isml/master.m3u8?filter=(systemBitrate%3C5000000%26%26type==%22video%22%7C%7CsystemLanguage==%22ger%22)
Europe by Satellite+ Kanal 2,https://eucom-live.freecaster.com/eucom/96098c0b-0743-4afc-9562-db1673053f9d/96098c0b-0743-4afc-9562-db1673053f9d.isml/master.m3u8?filter=(systemBitrate%3C5000000%26%26type==%22video%22%7C%7CsystemLanguage==%22ger%22)
a.tv (Augsburg),https://augsburgtv.iptv-playoutcenter.de/augsburgtv/augsburgtv.stream_1/playlist.m3u8
ALEX Berlin,https://alex-stream.rosebud-media.de/live/alexlivetv40.smil/playlist.m3u8
allgäu.tv,https://stream01.welocal.stream/stream/fhd-allgaeutv_25679/ngrp:stream_all/playlist.m3u8
Baden TV,http://cdn.icu.de/rtplive/btv.stream/playlist.m3u8
BLKonline TV Burgenlandkreis (Sachsen-Anhalt),https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:BLKonline_high/master.m3u8
Chemnitz Fernsehen,https://chemnitz.iptv-playoutcenter.de/chemnitz/chemnitzfernsehen.stream_1/playlist.m3u8
Dresden Fernsehen,https://dresden.iptv-playoutcenter.de/dresden/dresdenfernsehen.stream_1/playlist.m3u8
ems TV,http://62.113.221.6/ev1tv-live/livestream/master.m3u8
erzTV Erzgebirge,https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/chunklist_w585202401.m3u8
Filstalwelle (Göppingen),http://62.113.210.2/filstalwelle-live/_definst_/mp4:livestream/master.m3u8
Franken Fernsehen,https://s3.welocal.world/frankenfernsehen/media/191627/videos/hls.m3u8
Hannover 1,https://5857499ee635b.streamlock.net/heinstv-live/_definst_/smil:livestream.smil/chunklist.m3u8
HauptstadtTV,https://stream04.welocal.stream/stream/fhd-hauptstadttv_107073/ngrp:stream_all/master.m3u8
KabelJournal,https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/playlist.m3u8
Kulturmd TV,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:kulturmd_high/master.m3u8
L-TV,https://58481b709ae2e.streamlock.net/tv2000plus-live/_definst_/mp4:ltv-live/playlist.m3u8
Lausitzwelle Fernsehen,https://5856e1a25f71a.streamlock.net/easycast9-live/_definst_/livestreamhd10/playlist.m3u8
Leipzig Fernsehen,https://leipzig.iptv-playoutcenter.de/leipzig/leipzigfernsehen.stream_1/playlist.m3u8
Mainfranken.tv,https://stream01.welocal.stream/stream/fhd-tvmainfranken_255661/ngrp:stream_all/master.m3u8
MDF 1,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:mdf1_high/playlist.m3u8
münchen.tv,https://muenchentv.iptv-playoutcenter.de/muenchentv/muenchentv.stream_1/playlist.m3u8
Niederbayern TV,https://stream03.welocal.stream/stream/sat-nby/ngrp:sat-nby.stream_all/master.m3u8
noa4 Hamburg HD,https://hls1.wtnet.de/noa4hh/apple/wifi6500.m3u8
noa4 Norderstedt HD,https://hls1.wtnet.de/noa4/apple/wifi6500.m3u8
nrwision,https://fms.nrwision.de/live/livestreamHD.stream_360p/playlist.m3u8
Oberpfalz TV,https://oberpfalztv.iptv-playoutcenter.de/oberpfalztv/oberpfalztv.stream_1/playlist.m3u8
OFTV (Offenbach),https://5864df9ceac85.streamlock.net/germanpictures-live/_definst_/mp4:streamschedule/playlist.m3u8?&ref=www.of-tv.de&seid=503585
OK Dessau,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-dessau_high/playlist.m3u8
OK Koblenz,https://s.ok54.de/abr_ok4/live/ok4/live_720p/chunks.m3u8
Ok Ludwigshafen,https://s.ok54.de/oklu/livestream/playlist.m3u8
OK Magdeburg,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-magdeburg_high/master.m3u8
OK Merseburg,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-merseburg_high/master.m3u8
OK naheTV offener Kanal (Bad Kreuznach/Idar-Oberstein),https://s.ok54.de/nahetv/webstream/playlist.m3u8
